"Whova Agenda Track Excel Template (Three sheets, Agenda, Speaker, Personalized)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
2025-10-27 00:00:00,16:00:00,16:30:00,Technical Papers,Estimating Cycles to Maintenance Events For Jet Engines Using Engine-specific Measurement Residual,Evergreen I,"<p><i>Abstract:</i> <p>This paper introduces a data-driven method for predicting remaining cycles to major maintenance events in commercial jet engines, developed for the PHM North America 2025 Data Challenge. The method leverages measurement residuals that capture sensor deviations from expected values after accounting for operating conditions with simple linear models. These residuals serve as interpretable indicators of engine health. Health indices are constructed for High Pressure Turbine and High Pressure Compressor visits, while Compressor Water Wash events are estimated through linear extrapolation.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4667/phmc_25_4667"">Full paper (PDF)</a></p>",Peihua Han,,,Peihua Han; Qin Liang,,Sub,
2025-10-27 00:00:00,17:00:00,18:00:00,General,Free Time,,,,,,,,Session,
2025-10-27 00:00:00,18:00:00,20:00:00,General,Welcome Reception with Posters,Evergreen EF,,,,,,,Session,
2025-10-27 00:00:00,20:00:00,22:00:00,General,Student Social Event,Meet in Lobby,,,,,,,Session,
,,,,,,,,,,,,,
2025-10-28 00:00:00,07:30:00,16:00:00,General,Registration,,,,,,,,,
2025-10-28 00:00:00,07:00:00,08:00:00,General,Continental Breakfast,Evergreen Foyer,,,,,,,Session,
2025-10-28 00:00:00,08:00:00,09:00:00,General;  Keynotes,Opening Remarks and Keynote Speaker,Evergreen EF,,,,,,,Session,
2025-10-28 00:00:00,08:00:00,08:15:00,General,Opening Remarks,Evergreen EF,,Dave Larsen; Scott Clements,,,,,Session,
2025-10-28 00:00:00,08:15:00,09:00:00,General;  Keynotes,"Keynote Speaker: Serdar Uckun, ""Prediction at Molecular Scales""",Evergreen EF,"<p><b>Speaker: Serdar Uckun, MD, PhD <i>(LeapAI)</i></b><br/><i>Abstract:</i> Prognosis is a medical term for predicting the likelihood or expected development of a disease. Prognostics is an engineering discipline that borrows the prognosis concept from medicine and applies it to the health of engineered systems. In medicine and engineering alike, core capabilities required for prognostication are sensing (that is, observing the current state of the system) and prediction (postulating a future state of the system based on observations and prior knowledge). In this talk, we will discuss the art and science of predicting the behavior and function of organic molecules, which are a good 8 orders of magnitude smaller than the systems than PHM engineers are used to working on. Generative AI methods have greatly accelerated our understanding of how organic molecules behave, interact, and give rise to functions that are associated with life. We will cover some of the exciting advances in this space and speculate on what this all means for the PHM community.</p>",Serdar Uckun,,,,,Session,
2025-10-28 00:00:00,09:00:00,10:15:00,Product Showcases,Product Showcase,Evergreen EF,"<p>Since 2018 the PHM Society has been offering Sponsors a unique opportunity: the Product Showcase—where presenters may take advantage of a unique platform to advertise company products and services in a focused environment. The intent is to generate audience interest for follow-up exchange. The Product Showcase sessions will be comprised of a series of short marketing presentations. The communication will be one-way, where all questions/answers are reserved for off-line. Audiences will enjoy this approach as companies strive to make significant first impressions during a condensed window of time.</p>",,Abhinav Saxena,,,,Session,
2025-10-28 00:00:00,09:00:00,09:10:00,Product Showcases,Introduction,Evergreen EF,,Abhinav Saxena,,,,,Sub,
2025-10-28 00:00:00,09:10:00,09:16:00,Product Showcases,Mathworks,Evergreen EF,"<p>Be sure to register <a href=""https://www.mathworks.com/company/events/seminars/anomaly-detection-and-predictive-maintenance-with-matlab-phm-workshop-5034700.html"">here</a>! Space is limited for MathWorks’ Hands-On Workshops: <i>Anomaly Detection and Predictive Maintenance with MATLAB</i>.",Rachel Johnson,,,,,Sub,
2025-10-28 00:00:00,09:18:00,09:24:00,Product Showcases,GTC Analytics,Evergreen EF,,Jesse Williams,,,,,Sub,
2025-10-28 00:00:00,09:26:00,09:32:00,Product Showcases,Axion Ray,Evergreen EF,,Matt O'Donoghue,,,,,Sub,
2025-10-28 00:00:00,09:34:00,09:40:00,Product Showcases,Siemens,Evergreen EF,,Jitendra Solanki,,,,,Sub,
2025-10-28 00:00:00,09:42:00,09:48:00,Product Showcases,PHM Technology,Evergreen EF,,Chris Stecki,,,,,Sub,
2025-10-28 00:00:00,09:50:00,09:58:00,Product Showcases,GE Aerospace,Evergreen EF,,Omar Mendoza,,,,,Sub,
2025-10-28 00:00:00,10:00:00,10:12:00,Product Showcases,SAE ITC,Evergreen EF,,Ravi Rajamani,,,,,Sub,
2025-10-28 00:00:00,10:12:00,10:15:00,Product Showcases,Closing Remarks,Evergreen EF,,Abhinav Saxena,,,,,Sub,
2025-10-28 00:00:00,10:15:00,10:30:00,General,Break,Evergreen Foyer,,,,,,,Session,
2025-10-28 00:00:00,10:30:00,11:45:00,Tutorials,Tutorial Session 2: Boosting Prognostics and Health Management with LLM Assistants,Evergreen EF,"<p><b>Speaker: Manuel Arias Chao <i>(Zurich University of Applied Sciences & TU Delft)</i></b><br/><i>Abstract:</i> Modern maintenance and operations face growing challenges: massive data streams, fragmented documentation, and time-critical decisions. This tutorial introduces how Large Language Models (LLMs) and AI assistants can support Prognostics and Health Management (PHM) by acting as copilots for engineers.</p>
<p>We will present a vision of LLM-powered assistants that integrate technical manuals, historical cases, and sensor data with PHM algorithms to support troubleshooting, link alarms with fault signatures, and provide actionable maintenance recommendations. A case study on the CFM56 turbofan engine will illustrate how multi-agent architectures and retrieval-augmented generation (RAG) can transform industrial health monitoring into an interactive, data-driven workflow.</p>
<p>The tutorial will also cover the fundamentals of LLMs, RAG, and agent frameworks, with a live demonstration of an AI-PHM assistant prototype. Finally, we will discuss open challenges and research opportunities in multimodal data fusion, robust deployment in industrial settings, and human–AI teaming for maintenance decision-making.</p>",Manuel Arias Chao,,,,,Session,
2025-10-28 00:00:00,11:45:00,13:45:00,General; Keynotes,"Conference Lunch, Technical Program Awards, and Keynote Speaker",Evergreen EF,,,,,,,Session,
2025-10-28 00:00:00,12:45:00,13:30:00,Keynotes,"Keynote Speaker: Jennifer Radtke, ""Maintenance Vision of the Future""",Evergreen EF,<p><b>Speaker: Jennifer Radtke <i>(Boeing Enterprise)</i></b><br/><i>Abstract:</i> Coming Soon!</p>,Jennifer Radtke,,,,,Sub,
2025-10-28 00:00:00,13:15:00,13:35:00,General,Technical Program Awards,Evergreen EF,,,,,,,Sub,
2025-10-28 00:00:00,13:45:00,15:15:00,Panels,Panel Session 3: 1000 Days+ of ChatGPT: Adoption of LLMs in PHM,Evergreen A,"<p><b>Moderator: Sarah Lukens <i>(LMI Solutions)</i></b><br/>It has now been more than 1000 days since ChatGPT entered our lives, transforming how we write, research, query, retrieve information, and even code. What does this mean for the Prognostics and Health Management (PHM) community?</p>
<p>This panel will examine the growing impact of large language models (LLMs) on our daily work as PHM practitioners and their influence on PHM in practice. Based on a noticeable surge in PHM-related submissions referencing LLMs in the past year, the trend is clear: LLMs are becoming part of the PHM toolbox. The panel will ask and debate: <i>what does the future of PHM look like in an LLM-augmented world?</i></p>
<p>The panel will cover topics including:<br />
<ul><li><b>Generative AI in practice:</b> opportunities, limitations, and lessons learned from real-world use.
<li><b>Implications for PHM:</b> how LLMs can support practitioners, bridge expertise gaps, and shape future methods.
<li><b>Looking ahead:</b> what does the next 1000 days of LLMs in PHM look like?</ul></p>
<p>Panelists:
<ul><li>David He <i>(University of Illinois at Chicago)</i></li>
<li>Oguz Bektas <i>(University of Luxemborg)</i></li>
<li>Xiaorui Tong <i>(RTX)</i></li>
<li>Xian Yeow Lee <i>(Hitachi America, Ltd.)</i></li></ul></p>",David He; Oguz Bektas; Xiaorui Tong; Xian Yeow Lee,Sarah Lukens,,,,Session,
2025-10-28 00:00:00,13:45:00,15:15:00,Tech Demos,"Tech Demo 3A: MathWorks | ""Time Series Anomaly Detection with MATLAB""",Evergreen G,"<p>This interactive demo will introduce you to a variety of statistical and AI-based techniques for analyzing time series data and designing anomaly detection algorithms using MATLAB and Predictive Maintenance Toolbox. Highlights include: 
<ul>
<li>Organizing, analyzing, and preprocessing time series sensor data</li>
<li>Distance-based approaches for exploring anomalies in historical data</li>
<li>One-class machine learning and deep learning approaches for algorithm development</li>
<li>Comparing and testing algorithm performance</li>
<li>Deploying anomaly detection algorithms in a streaming environment</li>
</ul>
<p><img style=""max-width: 100%; height: auto;"" src=""https://phm2025.phmsociety.org/wp-content/uploads/sites/15/2025/10/MathWorks-Tech-Demo-Image-1024x686.jpg"" alt=""""  /></p>",Reece Teramoto; Rachel Johnson; Bora Eryilmaz,,,,,Session,
2025-10-28 00:00:00,13:45:00,15:15:00,Tech Demos,"Tech Demo 3B: PHM Technology | ""A Causation-based AI approach to PHM with MADE and Syndrome Diagnostics""",Evergreen H,"<p>Discover how to engineer smarter, more reliable systems, from concept to operation, in this live technical demonstration.<u></u><u></u></p>
<p>We’ll showcase how <strong>MADE</strong> transforms traditional RAMS and diagnostics engineering into a connected, data-driven workflow that links <strong>design, maintenance, and real-time operation</strong>. Starting in the design phase, you’ll see how MADE identifies and quantifies technical risk using <strong>FMEAs</strong> and <strong>FTAs</strong>, and then applies <strong>Reliability-Centered Maintenance (RCM)</strong> to define the most effective maintenance strategies. From there, we’ll demonstrate how to <strong>design and optimize a sensor suite</strong>, ensuring complete failure coverage for condition monitoring, and automatically generate the <strong>diagnostic logic</strong> needed to detect and isolate faults.<u></u><u></u></p>
<p> Then, experience how <strong>Syndrome Diagnostics (SD)</strong> takes those models into operation. We’ll walk through <strong>Exploratory Data Analysis (EDA)</strong> to validate diagnostic accuracy and calibrate Failure Detection &amp; Isolation (FDI),  before showing SD in action, working with live operational data.<u></u><u></u></p>
<p>Finally, you’ll see how <strong>Condition-based AI (CbAI)</strong> enables <strong>real-time, predictive diagnostics</strong>, turning data into actionable insights that maximize <strong>system availability, reliability, and safety</strong>. <strong>Join us to see how the MADE ecosystem creates a seamless bridge between design and operation, and experience firsthand how Digital Risk Twin technology enables smarter decisions across the product lifecycle.</strong></p>",Peter Lucas; Chris Stecki,,,,,Session,
2025-10-28 00:00:00,13:45:00,15:15:00,Technical Papers,Paper Session 3A: PHM for Lifecycle Management,Evergreen C,,,,,,,Session,
2025-10-28 00:00:00,13:45:00,14:15:00,Technical Papers,Lifecycle and best practices for predictive maintenance alert lifecycle management.,Evergreen C,"<p><i>Abstract:</i> <p>The predictive maintenance alert lifecycle is a critical topic in the aviation industry.&nbsp;</p>
<p>Stakeholders, including operators, suppliers, and Original Equipment Manufacturers (OEMs), require effective frameworks to&nbsp;</p>
<p>support the value proposition of predictive maintenance products and services.&nbsp;</p>
<p>However, defining alert effectiveness is challenging due to the lack of industry&nbsp;</p>
<p>standards for the end-to-end lifecycle of predictive maintenance alerts. Adding to the&nbsp;</p>
<p>challenge, different stakeholders may want to optimize on different objectives. Often,&nbsp;</p>
<p>alert performance is measured prematurely or not at all. To ensure high-quality alerts,&nbsp;</p>
<p>all alerts should be managed through their entire lifecycle until obsolescence. This&nbsp;</p>
<p>whitepaper outlines a clear lifecycle and best practices for predictive maintenance alert&nbsp;</p>
<p>lifecycle management.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4374/phmc_25_4374"">Full paper (PDF)</a></p>",Justin Sindewald,,,Justin Sindewald; Ryan Latini; Joseph Rice,,Sub,
2025-10-28 00:00:00,14:15:00,14:45:00,Technical Papers,Integration of LLMs for Multitasking Workload Prediction in Mixed Reality Environments,Evergreen C,"<p><i>Abstract:</i> <p>Multitasking in mixed reality (MR) environments introduces unique cognitive demands, particularly in workload management. Accurate workload prediction is critical for optimizing user experience, safety, and performance in such settings. This study proposes a novel framework that integrates large language models (LLMs) with traditional workload assessment tools to enhance prediction accuracy in MR multitasking scenarios. A multitasking experiment involving 36 participants was conducted, combining real-world and virtual tasks, with workload evaluated using NASA-TLX. To address limited sample sizes, synthetic data was generated using generative adversarial networks (GANs), enabling robust model training. We employed a hybrid deep learning model that integrates LLM-generated text embeddings with numerical features in a feedforward neural network (FNN). Results show that integrating LLMs, specifically BERT and GPT-2, significantly improves workload prediction accuracy, with a root mean square error (RMSE) reduction from 6.82 (FNN-only) to 0.95 (BERT-integrated model). The findings underscore the potential of LLMs to augment cognitive workload assessment, supporting more adaptive and scalable human-machine collaboration in MR environments.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4408/phmc_25_4408"">Full paper (PDF)</a></p>",David He,,,Safanah Abbas; Heejin Jeong; David He,,Sub,
2025-10-28 00:00:00,13:45:00,15:15:00,Technical Papers,Paper Session 3B: Digital Twins and Aviation,Evergreen I,,,,,,,Session,
2025-10-28 00:00:00,13:45:00,14:15:00,Technical Papers,Digital Twin-based IVHM for Predictive Maintenance,Evergreen I,"<p><i>Abstract:</i> <p>This paper proposes a Digital Twin-based Integrated Vehicle Health Management (IVHM) approach to enable predictive maintenance in aviation and aerospace industry. Predictive maintenance enables the identification of potential failure before they occur, improving operational efficiency, safety, and cost management by reducing downtown and optimizing maintenance scheduling. However, conventional approaches face three key challenges: lack of reliable run-to-failure data, uncertainties in system behavior and predictions, and fragmented processes between design and maintenance activities. This article introduces the concept of Authoritative Hybrid as-operated Digital Twin to overcome the current limitations. The proposed solution brings three main technical advancements: the integration of physics-informed Artificial Intelligence (AI) architecture reusing design artifacts into an IVHM system; the implementation of a comprehensive Validation, Verification, and Accreditation (VVA) process to support certification; and the enhancement of Model-Based Systems Engineering (MBSE) methods to ensure digital continuity across the different processes. This supports the development of advanced predictive maintenance capabilities, aligned with the vision of Type III IVHM systems, ultimately enabling more resilient, informed, and cost-effective operations in aerospace domain.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4343/phmc_25_4343"">Full paper (PDF)</a></p>",Salvatore Norcaro,,,Salvatore Norcaro; Roberta Cumbo; Leonardo Mangeruca; Luigi Di Guglielmo; Alessandro Ulisse,,Sub,
2025-10-28 00:00:00,14:15:00,14:45:00,Technical Papers,Potential of Generative AI in Knowledge-Based Predictive Maintenance for Aircraft Engines,Evergreen I,"<p><i>Abstract:</i> <p>In recent decades, predictive maintenance has become a strategic solution to detect anomalies and anticipate failures in industrial equipment and sophisticated machines. This strategy relies on the continuous collection of multi-sensor data and performance indicators to feed machine learning algorithms capable of identifying early signs of malfunction, thereby enabling preventive interventions and reducing downtime. In the literature, three main approaches are described: physics-based, data-driven, and knowledge-based. Physics-based methods require accurate mathematical modeling of the physical degradation processes involved, but they are often difficult to apply to complex systems where physical laws are hard to formalize. Data-driven methods dominate current implementations due to their ability to learn complex patterns from large datasets. However, they suffer from several limitations, such as a lack of interpretability, dependence on large amounts of labeled data, and poor generalization to new operating conditions. Knowledge-based approaches, on the other hand, are more explainable and rely on expert-defined rules, but they struggle with adaptability and scalability in dynamic or uncertain environments.</p>_x000D_
<p>This study investigates the potential of generative artificial intelligence (Generative AI) to address these limitations by supporting the creation of hybrid predictive maintenance models that combine the strengths of both data-driven and knowledge-based approaches. Generative AI offers new capabilities to simulate realistic failure scenarios, augment limited datasets, and extract structured knowledge from unstructured technical sources. It can also support the construction of domain-specific knowledge graphs or ontologies by identifying relevant concepts and semantic relationships, as well as generate logical reasoning rules based on expert input or technical documentation. Additionally, Generative AI shows promising potential in assisting the physical modeling of complex systems by proposing plausible approximations or surrogate models when traditional analytical modeling proves difficult. To support this investigation, the study will address a use case focused on Remaining Useful Life estimation for aircraft engines using the C-MAPSS benchmark dataset.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4352/phmc_25_4352"">Full paper (PDF)</a></p>",Meriem Hafsi,,,Meriem Hafsi,,Sub,
2025-10-28 00:00:00,14:45:00,15:15:00,Technical Papers,Guidance for the Certification and Continued Airworthiness of PHM System for Aviation,Evergreen I,"<p><i>Abstract:</i> <p>One of the barriers for the wider use of Prognostics and Health Management (PHM) systems in regular usage in commercial aviation has been the need to certify all components and functions related to PHM. Because PHM systems are not entirely like other systems on an aircraft, little guidance has been provided by the authorities or standards development organizations (SDO) in regards to such certification. Additionally, there is a lack of guidance for the continued airworthiness of the PHM system, i.e., rules for monitoring, maintaining, and updating them. We are not even touching on the ever sensitive topic of the need for significant monetary investment in the development, testing, manufacture, and operations of the PHM system, which OEMs are loath to do. However, there is some good news in the offing. One piece of this complex puzzle has recently been solved and in this paper, we will review and report on three events of significant progress which will help with the development and deployment of PHM systems for commercial aircraft.</p>_x000D_
<p>The MPIG (the Maintenance Programs Industry Group, which develops the maintenance guidance commercial aircraft â€“ MSG) published guidance on how a PHM task can replace an approved scheduled maintenance. Next, the FAA (Federal Aviation Administration) published an advisory circular laying out the requirements for what an end-to-end PHM system needs to comply with to be deployed on aircraft certified in the US. But even more critically, the SAEâ€™s E-32 (Propulsion Health Management) technical committee published a short guidance on how to certify a PHM system â€“ and any required ground support equipment â€“ on an engine. The HM-1 (Integrated Vehicle Health Management) committee later updated this guidance to include the entire vehicle. With these three recent developments, one part of getting PHM systems on aircraft is made easier. Other challenges â€“ such as justifying them financially â€“ still remain, but it will be harder to argue that the certification and continued airworthiness authorities are not in favor of employing PHM systems in commercial aviation.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4368/phmc_25_4368"">Full paper (PDF)</a></p>",Ravi Rajamani,,,Ravi Rajamani,,Sub,
2025-10-28 00:00:00,15:15:00,15:30:00,General,Break,Evergreen Foyer,,,,,,,Session,
2025-10-28 00:00:00,15:30:00,17:00:00,Panels,"Panel Session 4: Navigating the Professional Journey: Lessons from Successes, Setbacks, and Career Evolution in PHM",Evergreen A,"<p><b>Moderators: Huan Huang <i>(Emerson)</i> and Jeff Bird <i>(TECnos and PHM EPD Committee)</i></b><br/>In the rapidly evolving field of PHM, career paths are as diverse as the technologies and applications that define the discipline. This panel brings together accomplished professionals from across the PHM ecosystem—ranging from academia and large corporations to small businesses and entrepreneurial ventures—to share the real stories behind their professional journeys.</p>
<p>Through open and candid discussion, panelists will reflect on the milestones that shaped their careers, including both major successes and the setbacks that tested their resolve. Attendees will gain insights into how these experts navigated critical decision points, adapted to change, built resilience, and found purpose in different roles and sectors.</p>
<p>Whether you are an early-career professional exploring options, a mid-career practitioner seeking direction, or a student envisioning your future, this session offers valuable lessons in career advancement, leadership, innovation, and perseverance in PHM.</p>
<p>Panelists:
<ul><li>Cees Taal <i>(SKF)</i></li>
<li>Ryan Aalund <i>(Colorado State University, Samsara)</i></li>
<li>Juliana Vazquez <i>(GE Aerospace)</i></li>
<li>Nana Noel <i>(GE Aerospace)</i></li>
<li>Peter Sandborn <i>(University of Maryland)</i></li></ul></p>",Cees Taal; Ryan Aalund; Portia Banerjee; Nana Noel; Peter Sandborn,Huan Huang; Jeff Bird,,,,Session,
2025-10-28 00:00:00,15:30:00,17:00:00,Tech Demos,"Tech Demo 4A: GE Aerospace | ""Flight-Ready Data, Faster Decisions: Asset Records + FlightPulse Live""",Evergreen G,"<p>Join a hands-on technology demonstration showcasing how GE Aerospace’s Software as a Service accelerates Safety, Quality, Delivery, and Cost outcomes across operations. First, see Asset Records in action: digitize and ingest millions of technical records, auto-index with OCR and AI/ML, reconcile against M&amp;E systems, publish and package records for audits, lease returns, and MRO collaboration—all with enterprise-grade uptime and integrations. Then, experience FlightPulse, a pilot-centered, data-driven application that turns flight data into actionable insights to improve operational efficiency, safety culture, and fuel performance at scale. In 30–60 minutes, you’ll see how these solutions help airlines, lessors, and MROs move from paper and legacy workflows to trusted, searchable data and intuitive insights—ready for real-world decisions.</p>
<p style=""font-weight: 400""><span style=""text-decoration: underline"">Key Asset Records capabilities demonstrated:</span></p>
<ul style=""font-weight: 400"">
<li>Revolutionized the way Asset Records are utilized while keeping regulator compliance.</li>
<li>Integrations and collaboration: AeroXchange, API-based M&amp;E link publishing, eTechLogs, MRO Connect for send/receive records packages.</li>
<li>Scale and reliability: 2.5B+ records, 1M+ records/day, 99.95% uptime, 40k+ end users across 6,200+ aircraft.</li>
</ul>
<p style=""font-weight: 400""><span style=""text-decoration: underline"">Key FlightPulse capabilities (Made for pilots by pilots):</span></p>
<ul style=""font-weight: 400"">
<li>Secure, private access to individual flight data and peer-relative metrics in Post-flight, creating self-learning and continuous improvement moments.</li>
<li>Aggregated historical insights in Pre-flight with interactive maps, filters by runway, weather, and time, plus common threats and events to inform safer departures.</li>
<li>Pilot-friendly dashboards for fuel procedures like Engine Out Taxi In, showing individualized savings, fleet benchmarks, and missed-opportunity highlights.</li>
<li>Outcomes: carbon emissions avoided, increased adoption of fuel-saving procedures, and strong pilot engagement.</li>
</ul>
<p style=""text-align: center""><img style=""max-width: 100%; height: auto;"" src=""https://phm2025.phmsociety.org/wp-content/uploads/sites/15/2025/10/GE-Aerospace-Aviation-Ecosystem.png"" alt="""" /></p>",Omar Mendoza,,,,,Session,
2025-10-28 00:00:00,15:30:00,17:00:00,Technical Papers,Paper Session 4A: Battery & Fuel Cell Degradation Modeling,Evergreen C,,,,,,,Session,
2025-10-28 00:00:00,15:30:00,16:00:00,Technical Papers,A Lithium-Ion Battery Degradation Model Agnostic to Cell Chemistry with Integrated State-of-Charge and Temperature Dependence,Evergreen C,"<p><i>Abstract:</i> <p>Lithium-ion battery (LIB) lifetime prognosis remains a decisive enabler for safe, economical, and sustainable electrification across mobility and stationary energy sectors. Despite the maturity of this storage technology, the impact of capacity reduction due to battery aging remains a subject of interest to this day. This study presents a degradation model that computes the incremental loss of usable capacity for every equivalent cycle experienced by the battery. The model depends on the State of Charge values and the mean ambient temperature at which the cycle occurred. The methodology generalizes the results of a previous study where an initial degradation model was calibrated on longâ€‘term cycling data at which multiple commercial cells were driven to their end of life under varied state of charge ranges in addition to a chemical analysis of cell's degradation due to different operating temperatures. Unlike traditional calendar-plus-cycling additives or chemistry-specific semi-empirical methods, the proposed model is formulatedâ€”and further validatedâ€”under the assumption that cells exposed to comparable operating conditions degrade at comparable rates, independent of their electrode chemistry. Consequently, only the data of a single degradation campaign at a given operational mode is needed, which is typically found in the cell's datasheet, eliminating the need for time-consuming aging tests. Validation is performed using a public experimental dataset provided by the University of Stanford dataset. The results show the model's ability to predict the end-of-life within one percent of the reported battery State of Health (SOH), even for an electric vehicle usage profile. By embedding the framework in battery management systems, fleet operators can estimate remaining useful life (RUL) based on historical operational data, optimize battery usage based on less degrading SoC values and cooling systems, schedule preventive maintenance before catastrophic capacity loss, and compare alternative uses without the need for degradation studies. These contributions align with conference themes on prognostics, health management, and data-driven energy system optimization, offering a practical pathway towards longer-lived and better-valued electrified assets.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4373/phmc_25_4373"">Full paper (PDF)</a></p>",Bruno Masserano,,,Bruno Masserano; Jorge E. Garcia Bustos; Camilo Ramirez; Benjamin Brito Schiele; Cristobal E. Allendes; Ricardo Salas-Espineira; Sofia Mancilla; Jose Luis Espinoza; Aramis Perez; Francisco Jaramillo-Montoya; Marcos E. Orchard,,Sub,
2025-10-28 00:00:00,16:00:00,16:30:00,Technical Papers,Robust health indicator extraction and RUL prediction for PEMFCs under highly dynamic industrial conditions,Evergreen C,"<p><i>Abstract:</i> <p>Proton Exchange Membrane Fuel Cells (PEMFCs) are increasingly deployed in clean energy systems, such as GEH2 hydrogen generators, where they operate under highly dynamic and unpredictable load conditions. Accurate prediction of their Remaining Useful Life (RUL) is essential for ensuring reliable, cost-effective, and proactive maintenance strategies. However, conventional voltage-based Health Indicators (HIs) are highly sensitive to power fluctuations and fail to provide consistent degradation trends in real-world industrial scenarios, particularly when system usage varies significantly across different clients, as in the GEH2 case. In this paper, we propose a scalable two-stage framework for RUL prediction of PEMFCs operating under such conditions. First, we introduce a machine learning-based method to extract a degradation-specific Health Indicator directly from voltage measurements, effectively filtering out transient operational effects. Second, we develop a hybrid deep learning architecture that combines Transformer networks and Gated Recurrent Units (GRUs) to model temporal dependencies and provide accurate RUL predictions under dynamic conditions. The proposed approach is validated on a real-world industrial dataset collected from three PEMFC stacks deployed in GEH2 systems operating under highly variable conditions. Comparative results show that our method consistently outperforms baseline machine learning and deep learning models, achieving superior accuracy, robustness, and generalization across diverse mission profiles.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4558/phmc_25_4558"">Full paper (PDF)</a></p>",Phuc Do,,,Soufian Echabarri; Phuc Do; Hai-Canh Vu; Pierre-Yves Liegeois,,Sub,
2025-10-28 00:00:00,16:30:00,17:00:00,Technical Papers,EV-sim: Urban Traffic and Battery Dynamics Simulator for Degradation-Prognostics and Range-Aware Decision-Making for Electric-Vehicle Operations,Evergreen C,"<p><i>Abstract:</i> <p>Existing open-source traffic tools accurately reproduce driver behavior and congestion for conventional internal-combustion vehicles. However, in the case of electric vehicles (EVs), they often fail to incorporate critical electrical variables, such as battery voltage, power demand, and State-of-Health, which limits their applicability in operational planning and decision-making. This paper introduces a simulation platform tailored for EVs that bridges the gap between traditional transportation models and the needs of the PHM community in electromobility. The proposed platform combines power and energy consumption profiles derived from Gaussian Mixture Models with physics-based representations of battery behavior. Model parameters are calibrated using a publicly available dataset collected in Ann Arbor, Michigan. Each trip is partitioned into segments based on abrupt changes in speed, ensuring uniform operating conditions within segments and enhancing model transferability across routes. The platform simulates vehicle speed, electrical power demand, State-of-Charge (SoC), terminal voltage, and incremental capacity loss at each simulation step. Battery degradation is estimated through an empirical model fitted to long-term cycling data. A case study demonstrates the simulatorâ€™s ability to compare route alternatives between a shared origin and destination. Results show that the shortest path is not always the most energy-efficient nor the least degrading, highlighting the value of health-aware routing. The platform will be publicly released to enable reproducible testing of SoC estimation, range prediction, and degradation forecasting without requiring extensive instrumentation or prolonged field testing.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4370/phmc_25_4370"">Full paper (PDF)</a></p>",Jorge E. Garcia Bustos,,,Jorge E. Garcia Bustos; Benjamin Brito Schiele; Bruno Masserano; Cristobal E. Allendes; Ricardo Salas-Espineira; Fernando Oropeza Suarez; Catalina Platz-Gamboa; Lukas Gleisner J.; Diego Troncoso-Kurtovic; Francisco Jaramillo-Montoya; Heraldo Rozas; Marcos E. Orchard,,Sub,
2025-10-28 00:00:00,15:30:00,17:00:00,Technical Papers,Paper Session 4B: Advanced AI/ML for PHM,Evergreen I,,,,,,,Session,
2025-10-28 00:00:00,15:30:00,16:00:00,Technical Papers,Enhancing Nuclear Safeguards with Time Series Sketching-Based Nuclear Material Loss Tracking,Evergreen I,"<p><i>Abstract:</i> <p>Detecting nuclear material loss or leak events is a critical challenge for nuclear safeguards and material accountancy in the recycling of used nuclear fuel. The MAYER (Multi-Sensor Assimilation Yielding Enhanced Reliability) project, part of the ARPA-E CURIE (Converting UNF Radioisotopes Into Energy) program, aims to develop a framework for tracking material loss in nuclear facilities by integrating multisensor data with predictive modeling. In this paper, we introduce MAterial Loss Tracking via Time Series Sketching (MALTS), a deep learning-based method designed to detect material loss events across the nuclear fuel recycling system. MALTS enhances the accuracy and robustness of nuclear material loss tracking by employing time series sketching to capture essential patterns while filtering out sensor noise, resulting in more stable predictions despite sensor noise effects. This approach also improves the time efficiency of material loss tracking by reducing the dimensionality of highfrequency sensor data, thereby enhancing computational scalability and enabling real-time inference. To further provide insights into the leak, MALTS ranks anomalous channels by post-processing results with a pretrained vision-language model (VLM) that considers the system flow diagram, generating a sorted list of anomalous channels from upstream to downstream. The initial leak location is identified as the first upstream channel. Experimental results demonstrate MALTSâ€™s effectiveness and efficiency in accurately identifying unseen nuclear material loss events and pinpointing initial leak locations, making it suitable for deployment within the MAYER digital twin framework for nuclear material safeguards.</p><p><a href=""https://www.phmpapers.org/index.php/phmconf/article/download/4301/phmc_25_4301"">Full paper (PDF)</a></p>",Hao Huang,,,Hao Huang; Scott Evans; Philip Honnold; Nathan Shoman,,Sub,
